mission_id,phase,phase_name,title,scope,depends_on,capability_selector,required_master_context,agent_context_budget,deliverables,exit_gate,status
M-016,4,Provider Bindings,Implement binding resource family,Agent/Model/Workspace/Repo/Data/Storage/Deployment bindings and capability discovery.,M-012,"AGT,WKS,GIT,DAT,DEP",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,READY
M-017,4,Provider Bindings,Implement provider capability discovery,Provider Bindings: Implement provider capability discovery.,M-016,"AGT,WKS,GIT,DAT,DEP",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-018,4,Provider Bindings,Implement provider registry and health,Provider Bindings: Implement provider registry and health.,M-017,"AGT,WKS,GIT,DAT,DEP",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-019,4,Provider Bindings,Implement binding certification fixtures,Provider Bindings: Implement binding certification fixtures.,M-018,"AGT,WKS,GIT,DAT,DEP",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-020,5,Connections & Grants,Implement Connection and SecretRef broker,"Connections, SecretRef, grants, scopes, OAuth broker and approvals foundation.",M-016,"CON,POL",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-021,5,Connections & Grants,Implement ConnectionGrant scopes,Connections & Grants: Implement ConnectionGrant scopes.,M-020,"CON,POL",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-022,5,Connections & Grants,Implement approval foundation,Connections & Grants: Implement approval foundation.,M-021,"CON,POL",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-023,5,Connections & Grants,Implement OAuth/token lifecycle,Connections & Grants: Implement OAuth/token lifecycle.,M-022,"CON,POL",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-024,6,Durable Task & Execution,Implement Task/Execution schemas,"Task/Execution/Attempt state, Temporal workflows, idempotent commands, durable events.",M-021,"AGT,TRU",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-025,6,Durable Task & Execution,Integrate Temporal workflow engine,Durable Task & Execution: Integrate Temporal workflow engine.,M-024,"AGT,TRU",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-026,6,Durable Task & Execution,Implement durable event/outbox/replay,Durable Task & Execution: Implement durable event/outbox/replay.,M-025,"AGT,TRU",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-027,6,Durable Task & Execution,Implement idempotent command layer,Durable Task & Execution: Implement idempotent command layer.,M-026,"AGT,TRU",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-028,6,Durable Task & Execution,Implement execution lifecycle E2E,Durable Task & Execution: Implement execution lifecycle E2E.,M-027,"AGT,TRU",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-029,7,Remote Layer,Implement remote gateway,"Gateway, sequence/replay/resync, session grants, reconnect semantics.",M-028,"BRG,AGT",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-030,7,Remote Layer,Implement sequence/cursor/replay protocol,Remote Layer: Implement sequence/cursor/replay protocol.,M-029,"BRG,AGT",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-031,7,Remote Layer,Implement resync/reconciliation handshake,Remote Layer: Implement resync/reconciliation handshake.,M-030,"BRG,AGT",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-032,7,Remote Layer,Implement disconnect/reconnect test harness,Remote Layer: Implement disconnect/reconnect test harness.,M-031,"BRG,AGT",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-033,8,Mobile Shell,Bootstrap Expo mobile app,"Expo app, auth, projects, task/action center, notifications, secure storage.",M-028,"MOB,EXP,UX",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-034,8,Mobile Shell,Implement auth/projects navigation,Mobile Shell: Implement auth/projects navigation.,M-033,"MOB,EXP,UX",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-035,8,Mobile Shell,Implement Task/Execution action center,Mobile Shell: Implement Task/Execution action center.,M-034,"MOB,EXP,UX",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-036,8,Mobile Shell,Implement secure notification flows,Mobile Shell: Implement secure notification flows.,M-035,"MOB,EXP,UX",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-037,8,Mobile Shell,Implement mobile offline/degraded UX,Mobile Shell: Implement mobile offline/degraded UX.,M-036,"MOB,EXP,UX",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-038,9,Agent Integration,Implement ACP gateway/profile,"ACP profile, OpenHands adapter, capability negotiation, Plan/Build modes.",M-035,"AGT,AI",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-039,9,Agent Integration,Implement OpenHands adapter,Agent Integration: Implement OpenHands adapter.,M-038,"AGT,AI",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-040,9,Agent Integration,Implement Plan vs Build policy,Agent Integration: Implement Plan vs Build policy.,M-039,"AGT,AI",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-041,9,Agent Integration,Implement agent capability negotiation,Agent Integration: Implement agent capability negotiation.,M-040,"AGT,AI",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-042,9,Agent Integration,Implement BYOA certification tests,Agent Integration: Implement BYOA certification tests.,M-041,"AGT,AI",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-043,10,Model Integration,Implement ModelBinding/BYOK,"ModelBinding, BYOK broker, Vercel AI SDK/direct provider adapters, usage attribution.",M-039,"AGT,BIL",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-044,10,Model Integration,Implement model provider adapter layer,Model Integration: Implement model provider adapter layer.,M-043,"AGT,BIL",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-045,10,Model Integration,Implement usage/cost attribution,Model Integration: Implement usage/cost attribution.,M-044,"AGT,BIL",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-046,10,Model Integration,Implement key redaction/security tests,Model Integration: Implement key redaction/security tests.,M-044,"AGT,BIL",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-047,11,Workspace Integration,Implement WorkspaceProvider contract,"WorkspaceProvider interface, Daytona/E2B/BYOW, lifecycle and capability certification.",M-046,"WKS,PORT",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-048,11,Workspace Integration,Implement Daytona adapter,Workspace Integration: Implement Daytona adapter.,M-047,"WKS,PORT",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-049,11,Workspace Integration,Implement E2B adapter,Workspace Integration: Implement E2B adapter.,M-048,"WKS,PORT",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-050,11,Workspace Integration,Implement generic BYOW adapter,Workspace Integration: Implement generic BYOW adapter.,M-049,"WKS,PORT",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-051,11,Workspace Integration,Implement workspace certification suite,Workspace Integration: Implement workspace certification suite.,M-050,"WKS,PORT",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-052,12,Workspace Web IDE,Implement file tree/editor,"Files, Monaco, terminal, preview, logs, command palette, responsive mobile workspace.",M-048,"WKS,EXP",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-053,12,Workspace Web IDE,Implement terminal session UI,Workspace Web IDE: Implement terminal session UI.,M-052,"WKS,EXP",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-054,12,Workspace Web IDE,Implement preview/log surfaces,Workspace Web IDE: Implement preview/log surfaces.,M-053,"WKS,EXP",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-055,12,Workspace Web IDE,Implement workspace command/state UX,Workspace Web IDE: Implement workspace command/state UX.,M-054,"WKS,EXP",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-056,12,Workspace Web IDE,Implement IDE E2E,Workspace Web IDE: Implement IDE E2E.,M-055,"WKS,EXP",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-057,13,Secure Native-Web Bridge,Implement bridge v1 contracts,"Versioned bridge, origin/project binding, ACKs, keyboard/device state, OAuth/permission mediation.",M-056,"BRG,MOB",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-058,13,Secure Native-Web Bridge,Implement secure origin/project/session binding,Secure Native-Web Bridge: Implement secure origin/project/session binding.,M-057,"BRG,MOB",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-059,13,Secure Native-Web Bridge,Implement keyboard/device/native actions,Secure Native-Web Bridge: Implement keyboard/device/native actions.,M-058,"BRG,MOB",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-060,13,Secure Native-Web Bridge,Implement bridge ACK/error/perf semantics,Secure Native-Web Bridge: Implement bridge ACK/error/perf semantics.,M-059,"BRG,MOB",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-061,13,Secure Native-Web Bridge,Fuzz and conformance test bridge,Secure Native-Web Bridge: Fuzz and conformance test bridge.,M-060,"BRG,MOB",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-062,14,Repository & Git,Implement RepositoryProvider contract,"RepositoryBinding, Git status/diff/history/commit/push/import and reconciliation.",M-061,GIT,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-063,14,Repository & Git,Implement GitHub adapter,Repository & Git: Implement GitHub adapter.,M-062,GIT,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-064,14,Repository & Git,Implement status/diff/history UI,Repository & Git: Implement status/diff/history UI.,M-063,GIT,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-065,14,Repository & Git,Implement commit/push/import flows,Repository & Git: Implement commit/push/import flows.,M-064,GIT,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-066,14,Repository & Git,Implement repo/workspace reconciliation,Repository & Git: Implement repo/workspace reconciliation.,M-065,GIT,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-067,15,Checkpoints,Implement CheckpointManifest,CheckpointManifest DAG across repo/workspace/context/data references and recovery timeline.,M-066,"GIT,TRU",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-068,15,Checkpoints,Implement checkpoint capture pipeline,Checkpoints: Implement checkpoint capture pipeline.,M-067,"GIT,TRU",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-069,15,Checkpoints,Implement recovery timeline UX,Checkpoints: Implement recovery timeline UX.,M-068,"GIT,TRU",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-070,15,Checkpoints,Implement checkpoint restore planning,Checkpoints: Implement checkpoint restore planning.,M-069,"GIT,TRU",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-071,15,Checkpoints,Checkpoint consistency tests,Checkpoints: Checkpoint consistency tests.,M-070,"GIT,TRU",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-072,16,Verification & Evidence,Implement Evidence store,"Evidence store, build/test/security checks, candidate capture, independent completion verification.",M-054,"VER,TRU",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-073,16,Verification & Evidence,Implement Verification engine,Verification & Evidence: Implement Verification engine.,M-072,"VER,TRU",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-074,16,Verification & Evidence,Implement build/test/security check adapters,Verification & Evidence: Implement build/test/security check adapters.,M-073,"VER,TRU",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-075,16,Verification & Evidence,Implement verification UX,Verification & Evidence: Implement verification UX.,M-074,"VER,TRU",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
